timestamp,action,expiry,confidence,ID
2026-08-27 10:48:02+00:00,CALL,2,65,EURUSD0827104802
2026-08-27 10:49:06+00:00,CALL,2,75,EURUSD0827104906
2026-08-27 10:50:06+00:00,CALL,2,75,EURUSD0827105006
2026-08-27 10:51:14+00:00,WAIT,1,40,EURUSD0827105114
2026-08-27 10:52:10+00:00,WAIT,1,40,EURUSD0827105210
2026-08-27 22:54:13+00:00,WAIT,1,40,EURUSD0827225413
2026-08-27 22:55:02+00:00,WAIT,1,40,EURUSD0827225502
2026-08-27 22:56:04+00:00,WAIT,1,45,EURUSD0827225604
2026-08-27 22:57:02+00:00,WAIT,1,45,EURUSD0827225702
2026-08-27 23:00:05+00:00,WAIT,1,40,EURUSD0827230005
2026-08-27 23:01:09+00:00,WAIT,1,40,EURUSD0827230109
2026-08-27 23:02:05+00:00,WAIT,1,45,EURUSD0827230205
2026-08-27 23:03:05+00:00,WAIT,1,45,EURUSD0827230305
2026-08-27 23:04:05+00:00,WAIT,1,40,EURUSD0827230405
2026-08-27 23:05:04+00:00,WAIT,1,40,EURUSD0827230504
2026-08-27 23:06:06+00:00,WAIT,1,40,EURUSD0827230606
2026-08-27 23:07:05+00:00,WAIT,1,40,EURUSD0827230705
2026-08-27 23:08:05+00:00,WAIT,1,40,EURUSD0827230805
2026-08-27 23:09:04+00:00,WAIT,1,45,EURUSD0827230904
2026-08-27 23:10:05+00:00,PUT,2,62,EURUSD0827231005
2026-08-27 23:11:11+00:00,WAIT,1,45,EURUSD0827231111
2026-08-27 23:12:10+00:00,WAIT,1,40,EURUSD0827231210
2026-08-27 23:13:09+00:00,WAIT,1,40,EURUSD0827231309
2026-08-27 23:14:08+00:00,WAIT,1,40,EURUSD0827231408
2026-08-27 23:15:09+00:00,WAIT,1,40,EURUSD0827231509
2026-08-27 23:16:12+00:00,PUT,3,75,EURUSD0827231612
2026-08-27 23:17:14+00:00,PUT,2,72,EURUSD0827231714
2026-08-27 23:18:19+00:00,WAIT,1,40,EURUSD0827231819
2026-08-27 23:19:17+00:00,WAIT,1,40,EURUSD0827231917
2026-08-27 23:20:19+00:00,WAIT,1,40,EURUSD0827232019
2026-08-27 23:21:23+00:00,WAIT,1,40,EURUSD0827232123
2026-08-27 23:22:14+00:00,WAIT,1,40,EURUSD0827232214
2026-08-27 23:23:18+00:00,WAIT,1,40,EURUSD0827232318
2026-08-27 23:24:18+00:00,WAIT,1,40,EURUSD0827232418
2026-08-27 23:25:17+00:00,CALL,2,75,EURUSD0827232517
2026-08-27 23:26:28+00:00,WAIT,1,0,EURUSD0827232628
2026-08-27 23:27:20+00:00,WAIT,1,0,EURUSD0827232720
2026-08-27 23:28:20+00:00,WAIT,1,40,EURUSD0827232820
2026-08-27 23:29:21+00:00,WAIT,1,40,EURUSD0827232921
2026-08-27 23:30:21+00:00,WAIT,1,35,EURUSD0827233021
2026-08-27 23:31:33+00:00,WAIT,1,40,EURUSD0827233133
2026-08-27 23:32:20+00:00,WAIT,1,40,EURUSD0827233220
2026-08-27 23:33:20+00:00,WAIT,1,40,EURUSD0827233320
2026-08-27 23:34:27+00:00,WAIT,1,40,EURUSD0827233427
2026-08-27 23:35:29+00:00,WAIT,1,35,EURUSD0827233529
2026-08-27 23:36:36+00:00,WAIT,1,40,EURUSD0827233636
2026-08-27 23:37:23+00:00,WAIT,1,40,EURUSD0827233723
2026-08-27 23:38:37+00:00,WAIT,1,40,EURUSD0827233837
2026-08-27 23:39:46+00:00,WAIT,1,45,EURUSD0827233946
2026-08-27 23:40:39+00:00,WAIT,1,40,EURUSD0827234039
2026-08-27 23:41:33+00:00,WAIT,1,45,EURUSD0827234133
2026-08-27 23:42:30+00:00,WAIT,1,40,EURUSD0827234230
2026-08-27 23:43:32+00:00,WAIT,1,45,EURUSD0827234332
2026-08-27 23:44:42+00:00,WAIT,1,40,EURUSD0827234442
2026-08-27 23:46:07+00:00,WAIT,1,40,EURUSD0827234607
2026-08-27 23:49:10+00:00,WAIT,1,45,EURUSD0827234910
2026-08-27 23:52:01+00:00,WAIT,1,45,EURUSD0827235201
2026-08-27 23:54:23+00:00,WAIT,1,45,EURUSD0827235423
2026-08-27 23:56:51+00:00,WAIT,1,45,EURUSD0827235651
2026-08-27 23:57:58+00:00,WAIT,1,45,EURUSD0827235758
2026-08-28 00:00:35+00:00,WAIT,1,40,EURUSD0828000035
2026-08-28 00:01:57+00:00,WAIT,1,40,EURUSD0828000157
2026-08-28 00:05:44+00:00,WAIT,1,40,EURUSD0828000544
2026-08-28 00:06:51+00:00,PUT,2,75,EURUSD0828000651
2026-08-28 00:11:49+00:00,WAIT,1,40,EURUSD0828001149
2026-08-28 00:12:55+00:00,WAIT,1,35,EURUSD0828001255
2026-08-28 00:19:16+00:00,WAIT,1,40,EURUSD0828001916
2026-08-28 00:20:38+00:00,WAIT,1,40,EURUSD0828002038
2026-08-28 00:28:24+00:00,WAIT,1,40,EURUSD0828002824
2026-08-28 00:30:07+00:00,WAIT,1,40,EURUSD0828003007
2026-08-28 00:36:02+00:00,WAIT,1,40,EURUSD0828003602
2026-08-28 00:36:14+00:00,WAIT,1,40,EURUSD0828003614
2026-08-28 00:37:04+00:00,WAIT,1,40,EURUSD0828003704
2026-08-28 00:39:02+00:00,WAIT,1,40,EURUSD0828003902
2026-08-28 00:40:04+00:00,WAIT,1,40,EURUSD0828004004
2026-08-28 00:40:24+00:00,WAIT,1,40,EURUSD0828004024
2026-08-28 00:41:07+00:00,WAIT,1,40,EURUSD0828004107
2026-08-28 00:41:42+00:00,WAIT,1,40,EURUSD0828004142
2026-08-28 00:42:05+00:00,WAIT,1,40,EURUSD0828004205
2026-08-28 00:43:05+00:00,WAIT,1,40,EURUSD0828004305
2026-08-28 00:43:11+00:00,WAIT,1,40,EURUSD0828004311
2026-08-28 00:44:05+00:00,WAIT,1,40,EURUSD0828004405
2026-08-28 00:45:04+00:00,WAIT,1,40,EURUSD0828004504
2026-08-28 00:46:08+00:00,WAIT,1,50,EURUSD0828004608
2026-08-28 00:47:05+00:00,WAIT,1,40,EURUSD0828004705
2026-08-28 00:48:05+00:00,PUT,2,75,EURUSD0828004805
2026-08-28 00:49:10+00:00,WAIT,1,40,EURUSD0828004910
2026-08-28 00:50:08+00:00,WAIT,1,40,EURUSD0828005008
2026-08-28 00:51:13+00:00,WAIT,1,40,EURUSD0828005113
